,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"Weather_Conditions_Bien, con vientos fuertes",4.0,-69.0,-10.0,158.0,-100.0,137.0,12.0,39.0,-34.0,-79.0,-26.0,56.99999999999999,17.0,-10.0,12.0,6.0,-22.0,13.0,-14.000000000000002,31.0
"Weather_Conditions_Bien, con vientos suaves",-8.0,13.0,9.0,-28.999999999999996,9.0,10.0,0.0,0.0,13.0,14.000000000000002,12.0,-51.0,-39.0,7.000000000000001,13.0,12.0,-0.0,-45.0,12.0,9.0
Weather_Conditions_Desconocido,446.0,-61.0,11.0,-7.000000000000001,45.0,-63.0,165.0,178.0,-73.0,-68.0,-100.0,-27.0,-88.0,-3.0,-100.0,-59.0,213.0,-88.0,-60.0,-59.0
Weather_Conditions_Lluvioso,-100.0,-100.0,-97.0,272.0,-100.0,-100.0,-93.0,-94.0,-100.0,-100.0,-86.0,551.0,483.0,-92.0,-100.0,-100.0,-93.0,569.0,-100.0,-100.0
"Weather_Conditions_Lluvioso, con vientos fuertes",-100.0,-100.0,-100.0,563.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,758.0,252.0,-100.0,-100.0,-100.0,-100.0,382.0,-100.0,-100.0
Weather_Conditions_Nevando,-100.0,-100.0,-100.0,112.00000000000001,-100.0,-100.0,83.0,-100.0,114.99999999999999,-100.0,-100.0,93.0,285.0,343.0,-100.0,30.0,-100.0,269.0,-100.0,-100.0
"Weather_Conditions_Nevando, con vientos fuertes",-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2221.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Weather_Conditions_Niebla,-100.0,-100.0,-100.0,626.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,894.9999999999999,560.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Weather_Conditions_Otro,-100.0,-77.0,-47.0,91.0,-65.0,-42.0,10.0,2.0,-84.0,-85.0,8.0,219.0,276.0,-34.0,-59.0,-81.0,-14.000000000000002,288.0,-36.0,61.0
Road_Surface_Conditions_-1,505.99999999999994,-77.0,44.0,-100.0,2.0,-100.0,225.0,354.0,-100.0,-100.0,-46.0,-100.0,-100.0,-2.0,-100.0,-81.0,326.0,-100.0,-100.0,-100.0
Road_Surface_Conditions_1,12.0,22.0,22.0,-100.0,23.0,23.0,17.0,14.000000000000002,24.0,25.0,22.0,-100.0,-100.0,21.0,25.0,24.0,17.0,-100.0,23.0,7.000000000000001
Road_Surface_Conditions_2,-100.0,-100.0,-100.0,490.00000000000006,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,487.0,476.99999999999994,-100.0,-100.0,-100.0,-100.0,488.0,-100.0,-100.0
Road_Surface_Conditions_3,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,175.0,-100.0,385.0,-100.0,-100.0,190.0,189.0,564.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Road_Surface_Conditions_4,6.0,49.0,-51.0,-71.0,-100.0,34.0,1.0,18.0,-70.0,-86.0,-0.0,-73.0,6.0,-39.0,-62.0,-46.0,-100.0,-49.0,31.0,819.0
Road_Surface_Conditions_5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2211.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Urban_or_Rural_Area_Rural,-43.0,-82.0,-95.0,309.0,-91.0,311.0,-57.99999999999999,-73.0,-100.0,-84.0,311.0,-56.99999999999999,-77.0,301.0,311.0,-88.0,-82.0,-91.0,-94.0,309.0
Urban_or_Rural_Area_Urbano,14.000000000000002,26.0,31.0,-99.0,28.999999999999996,-100.0,19.0,24.0,32.0,27.0,-100.0,18.0,25.0,-97.0,-100.0,28.000000000000004,26.0,28.999999999999996,30.0,-99.0
